"congestion, block, strategy, congestionstrategy, blockgenerator, generator"
"commit, github, databricks, com, gmail, xin"
"tasksize, resultsize, tid, info, task"
"numbins, quantiles, bins, goldilocks, candidates, int"
"mapoutputtracker, computeinputsize, tracker, stage, partition, unstartedstagetime"
"setversion, pmml"
"nonemptydocs, termcounts, vector, term, counts, foreach"
"createstatement, conn, executequery, executeupdate, table, gettableexistsquery"
"allowcache, allow, numcores, defaultnumheaparena"
"hits, graph, hub, edge, norm, vertices"
"keytab, principal, keytabfilename, yarn, principalname, sysprops"
"timestamp, tuple1, options, timestampformat, json, yyyy"
"scores, hub, authority, score, graph, errortol"
"instancename, buildregistryname, createmetricssystem, metricname, securitymgr"
"hub, auth, score, hubauthgraph, hyperlink, graph"
"appears, attempting, refer, broadcast, sparkcontext, context"
"vector, vectorwithnorm, elem, cannot, clusterindex, constraint"
version
"setsafemode, hdfsconstants, safemodeaction, safemode_get, dfs, true"
"rankgraph, vertices, graph, edge, hits, scores"
"loader, clz, testclz, appclassloader, bos"
"module, classmanifest, classtype, predef, tuple2, public"
"sqltext, parsesql, newsqltext, text, println, parsedsql"
"hub, scores, hits, graph, vertex, auth"
"dates, lwd, caldat, fsubs, finis, grid"
"elements1, expression, elements2, semantic, equivalency, semanticequals"
"properties, path, custom, file, spark"
"transformation, action, variable, driver, sparkcontext, only"
"trim_horizon, endpointurl, regionname, streamname, region"
"rem, gradle, goto, echo, exe, home"
"transformations, programming, maven, word, application, counts"
"memoryusage, collectdata, heap, managementfactory, getused"
"edge, spmap, vertex, pmap, vid, shortest"
"newbytes, numbytes, type, maptype, utf8string, arraytype"
"snappy, framing, compression, blocksize"

"getjdbctype, dialect, jdbc, jdbctype, netezza, type"
"double, graph, msgsum, attr, rank, edge"
"fieldname, throws, option, dosent, getasopt, exist"
"decimal, javadecimal, dos, bigdecimal, writetype, double"
"closeness, centrality, graph, edge, closenesscentrality, vertex"
"clock, ssc, rddcount, milliseconds, windowedstream, silencespark"
"obj, type, typeerror, accept, raise, datatype"
"parquet, repetition, field, type, repeated, convertfield"
"suranjan, kumar"
"git, hello"
"pyarn, phive, dprotobuf, pspark, xmx2g, psparkr"
"clustersizes, cluster, kmeansmodel, lazy, int, sizes"
"kubernetes, pod, container, resource, staging, artifact"
"lock, executorid, executor, keycounts, keycountsmap, executiontime"
"automation, bin, desc, command, line, just"
"prediction, rawpredictioncol, probabilityudf, acccolname, col, raw"
"serializer, serializerinstance, acquirerelease, instance"
"table, offset, type, path, partition, query"
"clr, tuple2, stats, tuple3, url, net"
"token, rmaddress, yarnclient, credentials, yarnconfiguration, renewer"
"authorized, authorize, tcp, master_group, slave_group, address"
"_input_kwargs, __init__, kwargs, self"
"ground, combo, comboop, truth, self, defaultdict"
"hive, table, literal, predicates, filter"
"gateway, home, sparkhome, packages, setuptools, launch"
"aws, access, getenv, credentials, boto, secret"
"mutableliteral, eval, literal, result, expr, mutable"
"percentpruned, todouble, percent, pruned, selected, total"
"ssssssddf, rougehly, println, count"
"graph, edges, removeselfedges, runprecanonicalized, canonicalgraph, optcounter"
"userclasspath, user, userclasspathstr, getuserclasspath, classpath, local"

"words, explode, word, split, string"

"connection, getconnection, nulltypes, getdriverclassname, getconnector, jdbcwritedetails"
"gauge, metricregistry, longadder, adder, instrumented, long"
"streaming_sql, streamingsqltest, created, byr, lenovo, commandutils"
"hvm, 2xlarge, 4xlarge, 10xlarge, xlarge, updated"
"push, generate, test"
"kmeans, model, mllibkmeansmodel, initialmodel, initial, predictioncolname"
"commit, github, peg, com, databricks, gmail"
"constraints, offer, offerattributes, meets"
"hive, table, literal, predicates, filter"
"application, simple, setmaster, setappname, conf, master"

"hadoopconf, ast, conf, parser, sparksqlastbuilder, sparksqlparser"
"tagger, idx, double, arraybuffer, int, featurecache"
"covariance, invertible, considered, tol, matrix, least"
"maybe, maybetruncated, linenumber, got, still, ioe"
"selects, dump_profiles, displayed, profile, manually, had"
"mydensevector, stringrdd, jsonrdd, vec, json, dense"
"reporterror, error, handling, report, throwable, exiting"
"hub, hits, auth, score, scores, scoregraph"
"getoption, getconf, getorelse, app, else, get"
"50f, 60f, vectorsize, syms, vector"
"renamed, name1, name2, fields, jdbc, rsmd"
"ec2, spark, version"
"outer, leftsemi, jointype, inner, left, join"
"mvn, grep, dev, tail, help, evaluate"
"yarn, port, application, master, rpcenv, sparkyarnam"
"codec, separateworkingdir, working, separate, utf, pipedrdd"
"splunk, service, loginargs, search, exportargs, artifactid"
"partitioner, rddwithpartitioner, union, unionrdd, rddwithnopartitioner, rdd"
"mesos, dispatcher, cluster, dispatcherargs, recoverymode, mesosrestserver"
"job, tudelft, getscheduler, getjobsets, groupid, scheduler"
"relationsmap, rel1, graph, relations, copysrc, copydst"
"gradient, step, iterations, fraction, train, mini"
"yaml, emitter, parser, token, return, func"
"messages, block, expected, expectedmessages, rate"
"opts, instance_type, ami, master_instance_type, slave_ami, ec2"
"numthreadspertask, edgeactiveness, slices, num, threads, useparallel"
"sum, parallelize, seq, fold, assert, double"
"double, list, vector, maxiterations, doubles1, doubles"
"predict, probabilities, prob, features, vector"
"his, heaven, she, thou, thy, her"
"byte, dstream, callbacksocket, duration, dos, validtime"
"nanotime, iteration, pregel, messages, active, loginfo"
"phive, pyarn, pspark, phadoop, pkinesis, ganglia"
"msg, sqrt, math, get, scala"
"getstoragelevel, persist, baggedinput, nodeidsforinstances, storagelevel, memory_and_disk"
"pid, echo, command, start|stop|status, exit, usage"
"public_dns_name, ssh, available, not"
"clazz, parentloadclass, classes, loadclass, resolve, parentclassloader"
"container, allcontainerrequests, requests, amclient, containers"
"xmax, arg, classfile, compile, scalacoptions, scalac"
"since, curve, returns, threshold, unpersist, recall"
"hbase, token, credentials, obtaintoken, security, mirror"
"functions, asserttrue, self, allbuiltinfunctions, allfunctions, listfunctions"
"mxfile, gecko, diagram, ow64, wow64, editor"
"artifactid, artifact, streaming, public_dns_name, java8, network"
"opts, slaves, spot_price, master_spot_price, master, zones"
"phive, pyarn, dhadoop, phadoop, dskip, dskiptests"
"fraction, sampled, replacement, chosen, times, element"
"freqs, byte, long, thresholds, candidates, float"
"experimental, fraction, descent, step, scaling, regularization"
"master_spot_price, opts, master, slaves, ami, spot"
"reduceleft, parallelize, getv, broadcastarray, foo, collect"
"dos, sparkr, dis, byte, args, stream"
"self, peg, row, type, prototype, val"
"avro, version"
"writetofile, broadcastedconf, checkpointrdd, runjob, broadcasted, rdd"
"kryo, buffer, largeobject, kryoserializer, property"
"scalariform, dst, cdata, check, artifact, parameter"
"twitterutils, createstream, ssc, none"
"calibration, numbins, bins, double, scores, curve"
"slack, costmatrix, worker, job, task, dim"
"tachyon, deploying, modules, aws, spark_tachyon_map, export"
"csv, titles, csvfile, newtitles, loads, specificdata"
"charsequence, sequencenumber, sparksinkevent, sequence, builder, fieldsetflags"
"df1key, df2key, df1, df2, outer, join"
"masters, master, ssh, sbin, dir, echo"
"stripe, matrix, partitioner, stripematrix, gridpartitioner, int"
"expecting, numfeatures, logisticaggregator, aggregator, logistic, got"
"withmean, withstd, scaler, std, mean, booleanparam"
"iter, execute, partitions, child, internal"
"avro, schema, toavro, avrokey, record, pack"
"kubernetes, pod, container, resource, conda, staging"
"lowerbound, numpartitions, bound, lower, tolong, partitions"
"operationlog, operation, log"
"intp, partitioner, echo, job, settings, command"
"commit, github, databricks, com, gmail, xin"
"html, pyspark, mllib, python, labeledpoint, statistics"
"inputpathstr, partpath, tablepath, str, path, tostring"
"ncv, max_value, eigendecomposition, tolong, integer, too"
"dists, distances, distssize, prevdistssize, sparkapsp, newdists"
"crypto, inbuffer, outbuffer, decryptor, byte, codec"
"dev, parts, null"
"path, pattern, pathpatternstr, existpathset, parnum, partpath"
"row, reviews, anytype, placeid, schemaless, texttime"
"ssh, address, connection, slave, opts, dns"
"self, type, row, typetag, kafka, table"
"topology, layer, double, vector, hidden, numout"
"master_group, authorized, authorize, udp, tcp, address"
"tid, info, stage, task, finished, block"
"contributer, daydream, haha, dream, day, spark"
"splice, splicemachine, uniqueversion, repository, url, git"
"jets3t, protobuf, artifactid, artifact, groupid, dependency"
"scala_binary_version, site, project_, packaging, jar, target"
"people, schemardd, people1, person, union, union_people"
"skip, false"
"paho, mqttv3, eclipse, client, postfixops"
"cache, putcachedmetadata, inputformatcachekey, format, newinputformat"
"try, nextiterator, hadoop, inputformatclass, hadooprdd, thesplit"
"opts, host, slave, master, nodes, ssh"
"indices, strictly, vector, increasing, int, array"
"akka, beat, heart, failure, akkaheartbeatpauses"
"broker, kafka, pulls, messages, create, stream"
"stream, plan, createstreamdesc, streamplan, dstream, tok"
"jets3t, protobuf, math3, profile, avro, mapred"
"iam, role, iam_role, opts, aws, template"
"slaves, cluster, names, elif, group, master"
"seed, initialization, setseed, long, cluster, random"
"graph, vertex, edge, kcore, coreness, fname"
"rating, recommendations, product, similar, recommends, products"
"makeoffers, offers, threads, changed, launchtasks, tasks"
"integer, oddsandevens, odds, evens, areodd, javapairrdd"
"locs, deb, filemode, getlocs, tasklocation, blockids"
"targets, min_idx, idx, features, bins, box"
"artifactid, artifact, groupid, algebird, kafka, dependency"
"rich, date, richdate, richtimestamp, timestamp, gettime"
"precacheresults, src, assertcached, select, checkanswer, pre"
"test, this"
"srcidstrim, src, edgearray, edge, ids, srcids"
"cachedtabletest, exclusion, jetty, mortbay, artifactid, artifact"
"spm, solr, storm, cassandra, elasticsearch, monitoring"
"cachewithindex, cacheddata, dataindex, catalogrelation, queryidentifier, cacheidentifier"
"stream, plan, createstreamdesc, streamplan, dstream, tok"
version
"commit, github, com, databricks, gmail, xin"
"xmax, arg, classfile, compile, scalacoptions, scalac"
"custompredict, testdata, bcmodel, brz, vector, brzpi"
"appstatus, appid, client, application, report"
"scalariform, check, enabled, scalastyle, level"

"socket, poll, period, reporter, socketreporter, port"
"stats, statistics, worker, offers, latency, nodestats"
"apriori, rdd,0, array, line, fim, item"
"matrix, numcols, numrows, cols, rows, num"
"pyarn, jerry, tachyon, dhadoop, phadoop, tgz"
"flare, reservation, task, executor, driver, reservations"
"returncode, waitfor, code, sys, return, exit"
"self, duration, dstream, _millis, func, return"
"internalmap, containskey, key"
"span, code, kernel, gpu, device, commit"
"dstattr, srcattr"
"rddbatch, fromrdd, rdd, parallelism, javardd, objs"
"mdid, ivy, ivysettings, resolution, getdefaultcache, ivyconfname"
"len, offset"
"cpus, offer, memoryutils, calculatetotalmemory, cpus_per_task, overhead"
"git, upstream, checkout, master, bash, push"
"blockmanagerid, block, peers, replication, getpeers, peer"
"radius, default, spark, version"
"fileappender, logger, logmanager, appender, allloggers, url"
"storagelevel, level, storage, rdd, default"
"incrementable, key, long, hashmap, put"
"server, serverconnector, connector, jetty, conn, addr"
"ammemory, args, memory, val"
"partitionpruningrdd, pruned, aclsenabled, acls, setpermissions, clientbase"
"partitionsrdd, tolong, reduce, size, map"

"fileval, iterator, return, val, for, file"
"hbase, exclusion, artifactid, artifact, row, groupid"
"length, prototype, push, math, attr, graph"
"h2o, artifact, artifactid, groupid, water, airlines"
testing
"mllib, matrix, standalone, linear, newcommand, bayes"
"commit, github, gmail, merge, com, pull"
"twitter4j, tweets, twitter, createstream, follow, bounding"
"pyarn, dhadoop, phadoop, hadoop2, release, hive"
"tobytes, hbase, hconnection, columnfamily, hbasecontext, bytes"
"overhead, ammemoryoverhead, execmemoryoverhead, ammemory, memory, mem"
"unpack, avro, genericrecord, lang, record, avrokey"
"opts, ip_address, master, slave, group, vpc"
"site, callsite, call, dcreation, utils, findfirstin"
"hvm, 8xlarge, medium, micro, small"
"stream, buffered, bufferedinputstream, fileinputstream, bufferedoutputstream, input"
"mod, time, files, path, netflow, newfiles"
"tid, info, tasksetmanager, stage, task, manager"
"groovy, gradle, endhighlight, highlight, bash, integer"
"topology, vector, hiddenlayerstopology, ann, weights, hidden"
"eric, liu, tutorial, author, master, conf"
"batchsize, batch, logphat, phat, acc, stat"
"hello, echo, world, bin"
"gitrev, git, gitrevstring, dev, distdir, revision"
"maxappattempts, yarn, setmaxappattempts, 28int, doc, attempts"
"pvm, 2xlarge, amazon, 8xlarge, linux, xlarge"
"graph, subj, edge, rdfloader, loadntriples, triples"
"antecedent, consequent, mkstring, confidence, string, tostring"
"label, delta, recall, double, metrics, fmeasure"
"gradientdescent, descent, gradient, optimization, html, sgd"
"streaminglistener, streaming, html, interface, listener, scheduler"
"distribute, parallelize, resultant, rdd, collection, altered"
"yval, argval, featurevectors, theta, cost, costthreshold"
"partial, job, sum, callsite, evaluator, result"
"getnumpartitions, rdd, self, _jrdd, intersection, multiplication"
"streamingkmeans, trainingdir, kmeans, testdir, usage, dir"
"minutes, tweetcount, mother, mutha, profane, tweets"
"javasqlcontext, ctx, javasparkcontext, sqlctx, lcontext, java"
"dirs, yarnlocaldirs, downs, container, localdirs, shut"
"rbrz, brz, axpy, brzaxpy, bsv, bdv"
"clique1labels, clique2labels, graph, community, vertex, propagation"
"executors, numexecutors, ready, registered, backend, scheduler"
"classof, void, char, class, short, float"
"sigchld, signal, handle"
"networkwordcount, localhost, javanetworkwordcount, examples, streaming, example"
"swift, code, keystone, sparktest, mandatory, service"
"unv, classsymbol, annot, annotlist, annotation, annotations"
"commit, merge, pull, gmail, request, receiver"
"server, connector, jetty, pool, v20131115, threadpool"
"svd, ncoef, matrix, inv, computeinverse, v*inv"
"left, plan, lowercasedata, uppercasedata, subtract, nil"
"bdv, gramian, double, multiply, matrix"
"mxfile, macintosh, gecko, diagram, mac, intel"
"partition, rdd, identifier, within, parent, its"
"geolocationfilter, keywordfilters, geo, storagelevel, twitter, level"
"aggregatefunction, merge, combiners, aggregate, treenodeexception, row"
"exit, oom, halt, logging, getruntime"
"block, type, self, rdd, val, assert"
"exclude, hbase, asm, excludeall, excludenetty"
"record, portabledatastream, portable, stream, testoutput, split"
"recursive, recursivefilelist, newfilesonly, directory, directorypath, filter"
"getcanonicalpath, deletebroadcastfile, rootdirs, rootdir0, rootdir1, dirs"
"fpga, acc, pckt, cout, endl, datapoint"
"mutablerow, castedvalues, row, genericmutablerow, iterator"
"dependson, depends, compile, core, streaming, test"
"profanity, tweets, profanitywords, retweets, words, count"
"programming, guide, python, html, scala, tachyon"
"device, content, block, user, data, map"
"plan, log, physicalplan, plans, error, logical"
"cal, calendar, settime, assert, gregoriancalendar, gregorian"
"addtoenvironment, env, environment, yarnsparkhadooputil, pathseparator, variable"
"topk, reverse, sortby, take, frequency, globalcms"
"commit, com, pull, github, databricks, parquet"
"commit, github, gmail, merge, com, pull"
"flume, port, ssc, stream, storagelevel, flumestream"
"uri, environ, setsystemproperty, executor, sparkcontext, get"
"stream, plan, createstreamdesc, streamplan, dstream, tok"
"nodes, inst, cluster, slave, public_dns_name, print"
"receiver, block, val, rdd, tuple2, type"
"resourceoffer, exec1, host1, cpus, manager, tasklocality"
"commit, github, databricks, com, gmail, xin"
"width:100, left:0, align, center, span, style"
"tachyon, storagelevel, tachyonsize, level, block, tachyonstore"
"ssh, command, master, slave, gcutil, echo"
"ttl, cleaner, secs, clears, cleans, min"
"children, eval, registerfunction, input, typetag, udf"
"mat, sparse, similarities, mags, colmags, matrix"
"timeout, fetchtimeout, setconnecttimeout, setreadtimeout, connect, getint"
"mesos, role, offer, resource, slave, fwbuilder"
"nlabels, thresholds, freqs, entropy, discretize, discretizer"
"expression, plan, nil, hive, token, tok"
"countfailedvalues, failed, initialvalue, accumulable, count, values"
"commit, com, pull, github, databricks, gmail"
"commit, github, self, com, databricks, row"
